page title,userid,timestamp
A Song of Ice and Fire,0,2014-07-29T16:26:20Z
A Song of Ice and Fire,0,2014-07-29T16:25:15Z
A Song of Ice and Fire,16495000,2014-07-29T06:07:39Z
A Song of Ice and Fire,13517172,2014-07-27T11:43:23Z
A Song of Ice and Fire,0,2014-07-27T11:42:38Z
A Song of Ice and Fire,13286072,2014-07-26T22:26:00Z
A Song of Ice and Fire,21928539,2014-07-26T22:25:39Z
A Song of Ice and Fire,4898300,2014-07-23T07:41:22Z
A Song of Ice and Fire,1499324,2014-07-18T17:36:56Z
A Song of Ice and Fire,245620,2014-07-16T12:40:11Z
A Song of Ice and Fire,0,2014-07-16T07:19:50Z
A Song of Ice and Fire,13990635,2014-07-15T16:13:24Z
A Song of Ice and Fire,0,2014-07-15T16:05:32Z
A Song of Ice and Fire,0,2014-07-14T16:45:37Z
A Song of Ice and Fire,11620066,2014-07-12T07:20:13Z
A Song of Ice and Fire,0,2014-07-12T04:56:53Z
A Song of Ice and Fire,245620,2014-07-11T21:00:05Z
A Song of Ice and Fire,245620,2014-07-11T20:58:55Z
A Song of Ice and Fire,13990635,2014-07-11T13:10:21Z
A Song of Ice and Fire,0,2014-07-11T00:10:47Z
A Song of Ice and Fire,0,2014-07-03T19:43:47Z
A Song of Ice and Fire,1826966,2014-07-03T05:54:52Z
A Song of Ice and Fire,1826966,2014-07-03T05:51:50Z
A Song of Ice and Fire,0,2014-07-01T04:03:37Z
A Song of Ice and Fire,2424494,2014-06-30T03:13:17Z
A Song of Ice and Fire,2424494,2014-06-30T02:44:34Z
A Song of Ice and Fire,2424494,2014-06-30T02:38:55Z
A Song of Ice and Fire,18543285,2014-06-23T03:58:04Z
A Song of Ice and Fire,0,2014-06-23T03:41:07Z
A Song of Ice and Fire,13286072,2014-06-23T01:31:00Z
A Song of Ice and Fire,0,2014-06-23T01:30:52Z
A Song of Ice and Fire,4358889,2014-06-22T14:21:57Z
A Song of Ice and Fire,0,2014-06-22T13:13:45Z
A Song of Ice and Fire,6272330,2014-06-19T05:26:15Z
A Song of Ice and Fire,11620066,2014-06-16T18:35:48Z
A Song of Ice and Fire,0,2014-06-16T17:15:21Z
A Song of Ice and Fire,0,2014-06-16T15:11:55Z
A Song of Ice and Fire,245620,2014-06-13T23:23:43Z
A Song of Ice and Fire,1808194,2014-06-13T14:40:13Z
A Song of Ice and Fire,373051,2014-06-13T13:52:56Z
A Song of Ice and Fire,0,2014-06-12T23:24:28Z
A Song of Ice and Fire,245620,2014-06-07T21:19:11Z
A Song of Ice and Fire,0,2014-06-07T20:32:20Z
A Song of Ice and Fire,0,2014-06-07T20:31:33Z
A Song of Ice and Fire,0,2014-06-07T20:29:31Z
A Song of Ice and Fire,0,2014-06-07T20:28:17Z
A Song of Ice and Fire,245620,2014-06-07T13:46:09Z
A Song of Ice and Fire,0,2014-06-05T17:11:58Z
A Song of Ice and Fire,5822798,2014-06-04T19:11:58Z
A Song of Ice and Fire,2092270,2014-06-04T18:18:50Z
A Song of Ice and Fire,8511321,2014-05-29T04:21:08Z
A Song of Ice and Fire,1826966,2014-05-28T16:28:49Z
A Song of Ice and Fire,12965382,2014-05-23T23:08:37Z
A Song of Ice and Fire,8834,2014-05-22T06:05:11Z
A Song of Ice and Fire,16636788,2014-05-20T22:12:37Z
A Song of Ice and Fire,8989485,2014-05-20T15:30:34Z
A Song of Ice and Fire,0,2014-05-16T10:12:17Z
A Song of Ice and Fire,0,2014-05-16T09:36:52Z
A Song of Ice and Fire,9755426,2014-05-12T04:59:08Z
A Song of Ice and Fire,17419796,2014-05-11T13:43:14Z
A Song of Ice and Fire,736651,2014-05-09T15:46:46Z
A Song of Ice and Fire,0,2014-05-09T13:07:25Z
A Song of Ice and Fire,0,2014-05-06T21:52:46Z
A Song of Ice and Fire,0,2014-05-05T22:53:01Z
A Song of Ice and Fire,4358889,2014-05-05T19:08:07Z
A Song of Ice and Fire,0,2014-05-05T15:47:48Z
A Song of Ice and Fire,85019,2014-04-29T13:48:51Z
A Song of Ice and Fire,17458465,2014-04-29T13:20:28Z
A Song of Ice and Fire,0,2014-04-29T12:48:01Z
A Song of Ice and Fire,13286072,2014-04-27T04:22:27Z
A Song of Ice and Fire,0,2014-04-27T04:22:20Z
A Song of Ice and Fire,824270,2014-04-26T13:57:58Z
A Song of Ice and Fire,2943446,2014-04-25T09:59:48Z
A Song of Ice and Fire,10628389,2014-04-18T17:13:53Z
A Song of Ice and Fire,5195920,2014-04-17T15:57:24Z
A Song of Ice and Fire,5195920,2014-04-17T15:52:24Z
A Song of Ice and Fire,0,2014-04-15T13:07:04Z
A Song of Ice and Fire,0,2014-04-15T06:05:58Z
A Song of Ice and Fire,2629691,2014-04-13T21:11:04Z
A Song of Ice and Fire,15996738,2014-04-12T01:59:18Z
A Song of Ice and Fire,17215350,2014-04-09T18:22:56Z
A Song of Ice and Fire,17215350,2014-04-09T18:08:26Z
A Song of Ice and Fire,0,2014-04-06T23:45:51Z
A Song of Ice and Fire,574532,2014-04-04T09:46:41Z
A Song of Ice and Fire,0,2014-04-02T09:33:10Z
A Song of Ice and Fire,91088,2014-03-27T20:11:15Z
A Song of Ice and Fire,1862829,2014-03-26T07:25:44Z
A Song of Ice and Fire,0,2014-03-25T04:08:41Z
A Song of Ice and Fire,0,2014-03-24T15:33:37Z
A Song of Ice and Fire,21040352,2014-03-24T00:30:41Z
A Song of Ice and Fire,372507,2014-03-23T06:51:24Z
A Song of Ice and Fire,323105,2014-03-21T08:15:36Z
A Song of Ice and Fire,0,2014-03-20T23:31:57Z
A Song of Ice and Fire,0,2014-03-20T20:12:49Z
A Song of Ice and Fire,7611264,2014-03-20T13:56:19Z
A Song of Ice and Fire,0,2014-03-20T11:55:27Z
A Song of Ice and Fire,0,2014-03-19T04:40:04Z
A Song of Ice and Fire,0,2014-03-19T03:29:36Z
A Song of Ice and Fire,11620066,2014-03-17T19:46:02Z
A Song of Ice and Fire,0,2014-03-17T19:16:44Z
A Song of Ice and Fire,0,2014-03-17T18:58:10Z
A Song of Ice and Fire,0,2014-03-17T02:39:53Z
A Song of Ice and Fire,20991527,2014-03-16T23:13:02Z
A Song of Ice and Fire,20991527,2014-03-16T23:04:53Z
A Song of Ice and Fire,0,2014-03-16T22:53:33Z
A Song of Ice and Fire,0,2014-03-16T22:48:45Z
A Song of Ice and Fire,93143,2014-03-15T10:04:03Z
A Song of Ice and Fire,363188,2014-03-13T19:53:29Z
A Song of Ice and Fire,363188,2014-03-13T19:49:59Z
A Song of Ice and Fire,979894,2014-03-08T19:45:16Z
A Song of Ice and Fire,979894,2014-03-08T19:19:59Z
A Song of Ice and Fire,0,2014-03-07T23:01:09Z
A Song of Ice and Fire,7226930,2014-03-06T22:52:58Z
A Song of Ice and Fire,7226930,2014-03-06T22:48:46Z
A Song of Ice and Fire,0,2014-03-03T16:50:23Z
A Song of Ice and Fire,0,2014-03-03T05:37:10Z
A Song of Ice and Fire,276549,2014-03-03T02:18:40Z
A Song of Ice and Fire,0,2014-03-01T13:18:01Z
A Song of Ice and Fire,4358889,2014-02-28T01:18:17Z
A Song of Ice and Fire,0,2014-02-28T00:41:02Z
A Song of Ice and Fire,0,2014-02-18T16:59:22Z
A Song of Ice and Fire,0,2014-02-17T16:56:17Z
A Song of Ice and Fire,11801436,2014-02-17T16:42:49Z
A Song of Ice and Fire,0,2014-02-17T16:42:26Z
A Song of Ice and Fire,16461863,2014-02-10T15:41:03Z
A Song of Ice and Fire,14882394,2014-02-03T22:19:26Z
A Song of Ice and Fire,0,2014-02-03T22:19:16Z
A Song of Ice and Fire,13286072,2014-02-03T22:18:46Z
A Song of Ice and Fire,0,2014-02-03T22:18:38Z
A Song of Ice and Fire,0,2014-02-01T17:46:46Z
A Song of Ice and Fire,0,2014-01-31T20:07:46Z
A Song of Ice and Fire,4358889,2014-01-31T01:35:49Z
A Song of Ice and Fire,0,2014-01-31T01:05:01Z
A Song of Ice and Fire,14890160,2014-01-28T17:28:57Z
A Song of Ice and Fire,264323,2014-01-28T00:25:44Z
A Song of Ice and Fire,20654549,2014-01-27T13:46:09Z
A Song of Ice and Fire,0,2014-01-27T13:43:40Z
A Song of Ice and Fire,824270,2014-01-25T21:21:24Z
A Song of Ice and Fire,0,2014-01-25T21:00:24Z
A Song of Ice and Fire,0,2014-01-24T21:21:15Z
A Song of Ice and Fire,6468168,2014-01-16T23:46:11Z
A Song of Ice and Fire,10289486,2014-01-09T11:47:22Z
A Song of Ice and Fire,4358889,2014-01-07T21:19:57Z
A Song of Ice and Fire,0,2014-01-07T21:13:27Z
A Song of Ice and Fire,0,2014-01-07T20:58:15Z
A Song of Ice and Fire,0,2014-01-07T20:56:35Z
A Song of Ice and Fire,0,2014-01-07T20:52:56Z
A Song of Ice and Fire,0,2014-01-07T20:50:36Z
A Song of Ice and Fire,85019,2013-12-23T17:39:53Z
A Song of Ice and Fire,0,2013-12-13T23:55:55Z
A Song of Ice and Fire,14987724,2013-12-12T04:22:35Z
A Song of Ice and Fire,14987724,2013-12-12T04:21:43Z
A Song of Ice and Fire,12824384,2013-12-12T02:27:52Z
A Song of Ice and Fire,0,2013-12-12T01:33:34Z
A Song of Ice and Fire,14855375,2013-12-10T21:04:29Z
A Song of Ice and Fire,0,2013-12-09T04:50:12Z
A Song of Ice and Fire,1808194,2013-11-19T23:59:29Z
A Song of Ice and Fire,0,2013-11-13T11:00:07Z
A Song of Ice and Fire,1236474,2013-11-01T11:19:25Z
A Song of Ice and Fire,17175611,2013-10-30T21:15:21Z
A Song of Ice and Fire,0,2013-10-30T21:15:06Z
A Song of Ice and Fire,17175611,2013-10-30T21:06:00Z
A Song of Ice and Fire,0,2013-10-30T21:05:22Z
A Song of Ice and Fire,13286072,2013-10-30T08:37:38Z
A Song of Ice and Fire,0,2013-10-30T08:37:31Z
A Song of Ice and Fire,0,2013-10-22T02:18:58Z
