userid	timestamp
0	2012-02-04T09:21:31Z
0	2012-02-04T09:18:35Z
0	2012-02-04T09:09:47Z
0	2012-02-03T19:41:57Z
0	2012-02-03T19:40:09Z
0	2012-02-03T19:38:25Z
0	2012-02-03T19:37:04Z
0	2012-02-03T19:35:02Z
2943446	2012-02-03T14:06:32Z
7611264	2012-02-03T13:59:02Z
2943446	2012-02-03T13:40:41Z
0	2012-02-01T23:04:47Z
13659222	2012-02-01T02:53:51Z
15925713	2012-02-01T01:14:41Z
734297	2012-01-30T13:48:27Z
13659222	2012-01-28T18:52:40Z
0	2012-01-28T09:55:57Z
0	2012-01-28T09:53:28Z
0	2012-01-28T09:52:56Z
429625	2012-01-24T14:48:53Z
4358889	2012-01-24T14:32:55Z
0	2012-01-24T05:40:17Z
1593792	2012-01-23T17:18:46Z
0	2012-01-23T17:07:20Z
0	2012-01-23T17:05:15Z
0	2012-01-23T17:04:44Z
0	2012-01-23T17:03:17Z
0	2012-01-23T17:02:22Z
13659222	2012-01-22T01:11:37Z
9068113	2012-01-19T22:01:41Z
9056972	2012-01-17T17:43:46Z
0	2012-01-16T04:30:08Z
0	2012-01-12T13:52:01Z
0	2012-01-12T13:50:50Z
12422117	2012-01-09T16:56:08Z
11902418	2012-01-06T00:11:14Z
11902418	2012-01-06T00:07:59Z
0	2012-01-05T01:49:17Z
0	2011-12-28T21:26:36Z
0	2011-12-28T21:24:55Z
0	2011-12-26T20:09:19Z
0	2011-12-23T00:00:55Z
0	2011-12-22T21:03:50Z
0	2011-12-21T01:46:08Z
4628406	2011-12-19T03:19:30Z
0	2011-12-18T06:19:14Z
4625925	2011-12-13T23:02:44Z
0	2011-12-13T18:36:26Z
0	2011-12-12T14:39:25Z
0	2011-12-12T11:45:59Z
0	2011-12-07T17:30:15Z
2359527	2011-12-06T23:43:58Z
0	2011-12-06T23:43:14Z
8222692	2011-12-06T23:42:22Z
0	2011-12-06T23:41:46Z
0	2011-12-06T23:40:30Z
0	2011-12-06T16:44:09Z
